1524597597.66,325,
1524597598.16,323,
1524597598.66,325,
1524597599.16,331,
1524597599.66,318,
1524597600.16,317,
1524597600.66,328,
1524597601.17,396,
1524597601.67,385,
1524597602.17,300,
1524597602.67,383,
1524597603.17,360,
1524597603.67,410,
1524597604.17,399,
1524597604.67,267,
1524597605.17,298,
1524597605.67,349,
1524597606.18,349,
1524597606.67,418,
1524597607.18,431,
1524597607.68,291,
1524597608.18,287,
1524597608.68,266,
1524597609.18,314,
1524597609.68,447,
1524597610.18,332,
1524597610.68,271,
1524597611.19,312,
1524597611.68,316,
1524597612.19,364,
1524597612.68,376,
1524597613.19,312,
1524597613.69,270,
1524597614.19,237,
1524597614.69,166,
1524597615.19,230,
1524597615.69,281,
1524597616.19,241,
1524597616.7,295,
1524597617.19,223,
1524597617.7,299,
1524597618.2,581,
1524597618.7,383,
1524597619.2,277,
1524597619.7,485,
1524597620.2,412,
1524597620.7,253,
1524597621.2,257,
1524597621.7,247,
1524597622.2,290,
1524597622.7,222,
1524597623.21,236,
1524597623.71,370,
1524597624.21,293,
1524597624.71,284,
1524597625.21,342,
