1522108405.63,61,1628,-6,1628.98,
1522108405.67,63,1628,-8,1628.22,
1522108405.7,66,1627,-11,1627.15,
1522108405.73,68,1626,-13,1626.04,
1522108405.76,71,1624,-16,1624.62,
1522108405.79,73,1623,-18,1623.16,
1522108405.82,76,1621,-21,1621.39,
1522108405.85,79,1619,-24,1619.41,
1522108405.88,81,1617,-26,1617.39,
1522108405.91,82,1615,-27,1615.4,
1522108405.94,85,1613,-30,1613.0,
1522108405.97,87,1610,-32,1610.56,
1522108406.0,89,1607,-34,1607.98,
1522108406.04,91,1605,-36,1605.26,
1522108406.07,94,1602,-39,1602.23,
1522108406.1,97,1600,-42,1598.99,
1522108406.13,98,1600,-43,1595.88,
1522108406.16,100,1600,-45,1592.53,
1522108406.19,101,1600,-46,1589.21,
1522108406.22,102,1600,-47,1585.82,
1522108406.25,104,1600,-49,1582.19,
1522108406.28,107,1600,-52,1578.25,
1522108406.32,109,1600,-54,1574.27,
1522108406.35,109,1600,-54,1570.49,
1522108406.38,110,1600,-55,1566.54,
1522108406.41,110,1600,-55,1562.69,
1522108406.44,112,1600,-57,1558.5,
1522108406.47,112,1600,-57,1554.51,
1522108406.5,112,1600,-57,1550.52,
1522108406.53,112,1600,-57,1546.53,
1522108406.56,113,1600,-58,1542.37,
1522108406.59,113,1600,-58,1538.31,
1522108406.63,113,1600,-58,1534.25,
1522108406.66,112,1600,-57,1530.36,
1522108406.69,113,1600,-58,1526.2,
1522108406.72,114,1600,-59,1521.97,
1522108406.75,115,1600,-60,1517.67,
1522108406.78,114,1600,-59,1513.64,
1522108406.81,115,1600,-60,1509.34,
1522108406.84,113,1600,-58,1505.48,
1522108406.88,112,1600,-57,1501.59,
1522108406.91,110,1600,-55,1497.94,
1522108406.94,111,1600,-56,1493.92,
1522108406.97,112,1600,-57,1489.83,
1522108407.0,112,1600,-57,1485.84,
1522108407.03,110,1600,-55,1482.19,
1522108407.06,108,1600,-53,1478.68,
1522108407.1,108,1600,-53,1474.97,
1522108407.12,107,1600,-52,1471.43,
1522108407.15,106,1600,-51,1467.96,
1522108407.18,105,1600,-50,1464.56,
1522108407.21,105,1600,-50,1461.06,
1522108407.25,103,1600,-48,1457.9,
1522108407.28,102,1600,-47,1454.71,
1522108407.31,101,1600,-46,1451.59,
1522108407.34,99,1600,-44,1448.71,
1522108407.37,96,1600,-41,1446.14,
1522108407.4,93,1600,-38,1443.78,
1522108407.44,92,1600,-37,1441.29,
1522108407.46,91,1600,-36,1438.87,
1522108407.5,91,1600,-36,1436.35,
1522108407.52,90,1600,-35,1434.0,
1522108407.56,89,1600,-34,1431.72,
1522108407.59,86,1600,-31,1429.85,
1522108407.62,83,1600,-28,1428.19,
1522108407.65,79,1600,-24,1426.91,
1522108407.68,77,1600,-22,1425.57,
1522108407.71,76,1600,-21,1424.2,
1522108407.74,74,1600,-19,1423.07,
1522108407.77,72,1600,-17,1422.08,
1522108407.81,69,1600,-14,1421.4,
1522108407.84,65,1600,-10,1421.1,
1522108407.87,63,1600,-8,1420.74,
1522108407.91,60,1600,-5,1420.69,
1522108407.93,58,1600,-3,1420.68,
1522108407.96,55,1600,0,1420.98,
1522108407.99,52,1600,3,1421.49,
1522108408.02,49,1600,6,1422.21,
1522108408.06,47,1600,8,1422.97,
1522108408.09,43,1600,12,1424.21,
1522108408.12,40,1600,15,1425.56,
1522108408.15,37,1600,18,1427.12,
1522108408.18,34,1600,21,1428.89,
1522108408.21,30,1600,25,1431.04,
1522108408.23,27,1600,28,1433.3,
1522108408.27,24,1600,31,1435.77,
1522108408.3,21,1600,34,1438.45,
1522108408.34,17,1600,38,1441.51,
1522108408.36,14,1600,41,1444.68,
1522108408.39,11,1600,44,1448.06,
1522108408.42,9,1600,46,1451.48,
1522108408.46,8,1600,47,1454.87,
1522108408.49,8,1600,47,1458.16,
1522108408.52,8,1600,47,1461.45,
1522108408.55,9,1600,46,1464.57,
1522108408.58,10,1600,45,1467.62,
1522108408.61,11,1600,44,1470.6,
1522108408.64,11,1600,44,1473.68,
1522108408.67,12,1600,43,1476.59,
1522108408.7,13,1600,42,1479.43,
1522108408.73,14,1600,41,1482.2,
1522108408.77,15,1600,40,1484.9,
1522108408.8,16,1600,39,1487.53,
1522108408.82,17,1600,38,1490.09,
1522108408.86,18,1600,37,1492.58,
1522108408.89,19,1600,36,1495.0,
1522108408.92,19,1600,36,1497.52,
1522108408.95,20,1600,35,1499.87,
1522108408.98,21,1600,34,1502.15,
1522108409.01,22,1600,33,1504.36,
1522108409.05,22,1600,33,1506.67,
1522108409.07,23,1600,32,1508.81,
1522108409.1,23,1600,32,1511.05,
1522108409.13,23,1600,32,1513.29,
1522108409.17,24,1600,31,1515.36,
1522108409.2,24,1600,31,1517.53,
1522108409.23,24,1600,31,1519.7,
1522108409.26,25,1600,30,1521.7,
1522108409.29,25,1600,30,1523.8,
1522108409.32,24,1600,31,1526.07,
1522108409.35,23,1600,32,1528.41,
1522108409.38,22,1600,33,1530.82,
1522108409.42,22,1600,33,1533.13,
1522108409.45,23,1600,32,1535.27,
1522108409.48,24,1600,31,1537.34,
1522108409.5,23,1600,32,1539.68,
1522108409.54,23,1600,32,1541.92,
1522108409.57,22,1600,33,1544.33,
1522108409.6,21,1600,34,1546.81,
1522108409.63,20,1600,35,1549.36,
1522108409.66,19,1600,36,1551.98,
1522108409.69,18,1600,37,1554.67,
1522108409.72,18,1600,37,1557.26,
1522108409.75,17,1600,38,1560.02,
1522108409.79,16,1600,39,1562.85,
1522108409.82,15,1600,40,1565.75,
